Ticker,first_close,last_close,yearly_return_%
TRENT,2059.1,6652.8,223.09261327764557
BEL,139.2,280.85,101.7600574712644
M&M,1537.4,3012.95,95.97697411213734
BAJAJ-AUTO,5016.45,9481.65,89.0111533056245
BHARTIARTL,925.3,1569.3,69.599048957095
POWERGRID,199.55,336.95,68.8549235780506
BPCL,170.68,285.85,67.47715022263887
HEROMOTOCO,3015.6,4794.1,58.976654728743874
SUNPHARMA,1141.45,1795.3,57.28240395987558
HCLTECH,1238.7,1898.4,53.25744732380721
NTPC,241.2,365.45,51.51326699834162
EICHERMOT,3351.4,4986.2,48.77961448946708
SHRIRAMFIN,1921.95,2850.05,48.28949764562034
TECHM,1216.2,1747.45,43.6811379707285
COALINDIA,291.9,414.05,41.84652278177459
WIPRO,405.45,571.65,40.991490935997035
ULTRACEMCO,8304.9,11375.3,36.97094486387553
ADANIPORTS,831.4,1136.75,36.7272071205196
ICICIBANK,940.3,1278.05,35.91938742954377
HINDALCO,479.95,652.1,35.868319616626735
GRASIM,1913.84,2598.65,35.78198804497765
APOLLOHOSP,5118.95,6935.1,35.47895564520069
SBIN,602.95,816.05,35.34289742101333
ONGC,184.6,245.6,33.04442036836404
INFY,1434.0,1902.25,32.6534170153417
TATAMOTORS,620.45,791.0,27.488113466032704
JSWSTEEL,770.25,977.35,26.887374229146378
CIPLA,1182.8,1486.5,25.676361176868447
TCS,3513.85,4244.6,20.79627758726186
LT,3073.25,3603.5,17.25372163019605
HDFCBANK,1508.05,1745.6,15.752130234408668
SBILIFE,1292.45,1485.15,14.909667685403694
TATASTEEL,128.0,142.78,11.546875
DRREDDY,1092.34,1214.45,11.17875386784335
TATACONSUM,861.2,945.2,9.753831862517416
AXISBANK,1041.05,1142.4,9.735363335094394
RELIANCE,1159.08,1265.4,9.172792214514969
HDFCLIFE,633.55,688.2,8.625996369663035
ITC,439.75,474.65,7.936327458783388
BRITANNIA,4495.45,4848.35,7.85015960582367
MARUTI,10346.9,11063.6,6.926712348626163
TITAN,3196.25,3308.7,3.518185373484539
BAJAJFINSV,1561.05,1600.85,2.549565997245451
KOTAKBANK,1727.05,1761.45,1.9918357893517813
NESTLEIND,2231.52,2247.3,0.7071413207141442
HINDUNILVR,2468.9,2445.25,-0.957916481023946
ADANIENT,2387.25,2228.0,-6.670855586972458
BAJFINANCE,7967.6,6683.95,-16.110874039861443
ASIANPAINT,3166.85,2472.2,-21.935045865765666
INDUSINDBK,1435.4,998.2,-30.458408805907766
